Region,Branch
Summits,"Adiantum (Eugene, OR)"
Inlands,"Akornebir (Walla Walla, WA)"
Inlands,"Ambergard (Grant County, WA)"
Tir Righ,"Appledore (Eastern British Columbia, BC)"
Central,"Aquaterra (Snohomish County, WA)"
Central,"Bearwood (SE Snohomish County, WA)"
Central,"Blatha an Oir (Tacoma-Pierce County, WA)"
Summits,"Briaroak (Roseburg, OR)"
Tir Righ,"Coill Mhor (100 Mile House, BC)"
Summits,"Coeur du Val (Corvallis, Benton County, OR)"
Tir Righ,"Cold Keep (Prince George, BC)"
Inlands,"College of Cranehaven (Chelan County, WA)"
Inlands,"College of Lyonsmarche (Pullman, WA & Moscow, ID)"
Central,"College of St. Bunstable (University of Washington, WA)"
Summits,"Corvaria (Bend, Jefferson, Deschutes, & Crook Counties, OR)"
Tir Righ,Danescombe (Penticton and Kelowna BC)
Central,"Dragon's Laire (Kitsap & N Mason Counties, WA)"
Rivers,"Dragon's Mist (Washington County, OR)"
Central,"Dregate (Omak, WA)"
Central,"Druim Doineann (Port Angeles - Clallam & Jefferson Counties, WA)"
Central,"Earnrokke (Whidbey Island, WA)"
Tir Righ,"False Isle (Powell River, BC)"
Rivers,"Fire Mountain Keep (Lewis County, WA)"
Tir Righ,"Fjordland (Sunshine Coast, BC)"
Central,"Glymm Mere (Olympia, Tumwater & Lacey, WA)"
Summits,"Glyn Dwfn (Medford, Ashland, Jackson Counties, OR)"
Inlands,"(Grimwithshire (Pend O'Reille and Stevens Counties, WA))"
Tir Righ,"Hartwood (Nanaimo,Campbell River,Courtenay, Port Alberni, BC)"
Rivers,"Hauksgaror (Hood River and Wasco Counties, OR)"
Rivers,"Kaldor Ness (Columbia County, OR)"
Tir Righ,"Krakafjord (Vernon, BC)"
Tir Righ,"Lions Gate (Vancouver, BC)"
Tir Righ,"Lionsdale (Fraser Valley, BC)"
Central,"Madrone (King County, WA)"
Central,"Midhaven (Skagit and San Juan Counties, WA)"
Rivers,"Mountain Edge (Yamhill County, OR)"
Summits,"Myrtle Holt (Grants Pass, OR)"
Inlands,"Pendale (Sandpoint, Bonner & Boundary County, ID)"
Central,"Porte de l'eau (E King County, WA)"
Tir Righ,"Ramsgaard (Kamloops, BC)"
Rivers,"River's Bend (Kelso & Longview-Cowlitz Counties, WA)"
Tir Righ,"Seagirt (Victoria, BC)"
Inlands,"Silverhart (Kootenai, Shoshone, Benwah Counties, ID)"
Rivers,"Stromgard (Vancouver, WA)"
Summits,"Terra Pomaria (Marion, Polk & Lincoln Counties, OR)"
Tir Righ,"Thornwold (Bellingham - Whatcom County, WA)"
Rivers,"Three Mountains (Clackamas & Multnomah Counties, OR)"
Tir Righ,"Tir Bannog (Smithers, BC)"
Summits,"Tymberhavene (Coos & Curry Counties, OR)"
Inlands,"Vulcanfeldt (Yakima - Yakima County, WA)"
Inlands,"Wastekeep (Tri-Cities, WA)"
Inlands,"Wealdsmere (Spokane - Spokane County, WA)"
Central,"Wyewood (South King County, WA)"
--,Outside of An Tir
Avacal,"Bitter End (Red Deer, AB)"
Avacal,"Bordergate (Cold Lake, AB)"
Avacal,"Borealis (Edmonton, AB)"
Avacal,"Montengarde (Calgary, AB)"
Avacal,"Myrgan Wood (Sasatoon, SK)"
Avacal,"Sigelhundas (Regina, SK)"
Avacal,"Valley Wold (Moose Jaw, SK)"
Avacal,"Vinjar (Grand Prarie, AB and environs)"
Avacal,"Windwyrm (Lethbridge, AB)"